house-id,area,bathroom,bedroom,buildingSize,data-date,data-isonshow,data-location,data-url,erfSize,garage,type,data-price
1,boland-winelands,3,3,300,2018-05-31 14:44:46,FALSE,La Sandra,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-la-sandra/sw1371428,1240,2,house,5950000
2,northern-suburbs,1,2,,2018-05-16 12:23:46,FALSE,Observatory,https://www.pamgolding.co.za/property-details/2-bedroom-house-for-sale-observatory-cape-town/kw1376244,105,,house,1695000
3,boland-winelands,3,5,,2018-05-29 15:38:01,FALSE,Riebeek Valley,https://www.pamgolding.co.za/property-details/5-bedroom-house-for-sale-riebeek-valley/rv1378413,238,2,apartment,4600000
4,boland-winelands,2,3,124,2016-07-04 10:26:20,FALSE,Strand South,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-strand-south/sw1275305,124,1,apartment,1250000
5,boland-winelands,4,4,400,2016-10-21 09:30:10,FALSE,Ceres,https://www.pamgolding.co.za/property-details/4-bedroom-house-for-sale-ceres/rv1290666,500,,house,6750000
6,boland-winelands,2,3,280,2018-08-01 13:25:43,FALSE,Bergzicht,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-bergzicht/1ms1390524,825,2,apartment,1895000
7,boland-winelands,3,3,260,2018-02-21 10:37:54,FALSE,Val de Vie,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-val-de-vie/tk1361549,552,2,house,4500000
8,southern-peninsula,4,4,,2018-07-25 11:53:35,FALSE,Kommetjie,https://www.pamgolding.co.za/property-details/4-bedroom-house-for-sale-kommetjie/fh1388625,492,2,house,4100000
9,atlantic-seaboard,1,1,54,2018-05-30 14:18:26,FALSE,De Waterkant,https://www.pamgolding.co.za/property-details/1-bedroom-apartment-for-sale-de-waterkant/as1378585,,,apartment,2750000
10,atlantic-seaboard,1,1,65,2018-10-12 11:21:23,FALSE,Three Anchor Bay,https://www.pamgolding.co.za/property-details/1-bedroom-apartment-for-sale-three-anchor-bay/as1402989,,,apartment,2500000
11,boland-winelands,4,4,700,2018-07-17 10:34:02,TRUE,Helena Heights,https://www.pamgolding.co.za/property-details/4-bedroom-house-for-sale-helena-heights/sw1387580,2373,3,apartment,4700000
12,boland-winelands,3,4,,2016-10-27 15:41:01,FALSE,Mountainside,https://www.pamgolding.co.za/property-details/4-bedroom-house-for-sale-mountainside/sw1291712,535,2,apartment,3500000
13,southern-peninsula,3,4,,2017-12-01 14:51:20,FALSE,Simons Town Central,https://www.pamgolding.co.za/property-details/4-bedroom-house-for-sale-simons-town-central/sim1351507,364,2,house,4490000
14,atlantic-seaboard,2,2,88,2018-11-09 10:18:14,FALSE,Sea Point,https://www.pamgolding.co.za/property-details/2-bedroom-apartment-for-sale-sea-point/as1407532,,,apartment,4950000
15,boland-winelands,2,3,172,2018-04-11 11:21:11,FALSE,Val de Vie,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-val-de-vie/tk1370321,499,2,apartment,5000000
16,southern-peninsula,2,3,,2018-05-17 10:16:46,FALSE,Zeekoevlei,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-zeekoevlei/1ot1376109,639,2,house,1575000
